Name,Latitude,Longitude,Location,Year of data collection,Year_dammed,Reservoir_age_yr,Surface_area(km2),mean_depth(m),vol(km3),residence_time(yr),discharge_km3/yr,Purpose,TP_Conc_in_(uM),TP_Conc_out_(uM),TPin(mol/yr),TPout(mol/yr),TP_Retention,Catchment dominant lithology (Hartmann and Moosdorf 2012),Outflow_type,2nd_P_species,2nd_p_conc_in_ (uM),2nd_P_conc_out(uM),2nd_P_influx(mol/yr),2nd_P_efflux(mol/yr),2nd_P_retention,Additional notes,References
Saguling,-6.55,107.35,Indonesia,,,18,56.00,18.4,1.03,0.23,4.477,flow,45.30,8.56,2.03E+08,3.83E+07,0.81,"Unconsol_seds,Intermed_volcanic,Mixed_seds",Surface,TDP,0.339,0.112,1.52E+06,5.02E+05,0.67,,Hart et al 2002
SAKAKAWEA_(GARRISON),47.50,-101.431,USA,1972-1976,1956,18,1615.38,18.2,29.40,0.89,32.997,pump,11.52,0.87,3.80E+08,2.87E+07,0.92,Unconsol_seds,Bottom,,,,,,,Hejzlar database,Walker 1985
San_Pons,41.97,1.6,Spain,1979-81,1957,22.5,0.96,18.8,0.02,0.31,0.058,pump,2.43,2.20,1.41E+05,1.28E+05,0.11,,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
Sau,41.97,2.03,Spain,1979-81,1963,16.5,3.95,29.4,0.12,0.30,0.393,pump,19.56,11.32,7.69E+06,4.45E+06,0.44,Siliclastic_sed or Carbonate,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
Sedlice,49.53,15.26666667,Czech_Republic,1997-2000,1927,71.5,0.32,5.1,0.00,0.02,0.067,flow,4.68,3.15,3.13E+05,2.11E+05,0.52,Metamorphic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished"
Seine,48.20,4.7,France,1994-95,,28,23.00,7.6,0.17,0.62,0.282,flow,1.46,0.78,2.58E+05,1.61E+05,0.38,Carbonate,,TDP,0.038,0.013,1.07E+04,3.80E+03,0.64,,Garnier et al 1999
SEMINOLE_(WOODRUFF),30.71,-84.865,USA,1972-1976,1952,22,152.00,3.0,0.46,0.02,26.824,flow,3.10,2.45,8.31E+07,6.57E+07,0.21,Unconsol_seds,Bottom,,,,,,,Hejzlar database,Walker 1985
SHELBYVILLE,39.41,-88.783,USA,1972-1976,1970,4,44.90,6.0,0.27,0.20,1.347,flow,5.64,3.38,7.60E+06,4.55E+06,0.40,Siliclastic_sed,Mixed,,,,,,,Hejzlar database,Walker 1985
SHENANGO_RIVER,41.26,-80.463,USA,1972-1976,1965,9,5.83,3.2,0.02,0.05,0.366,flow,3.17,2.29,1.16E+06,8.36E+05,0.28,Siliclastic_sed,Bottom,,,,,,,Hejzlar database,Walker 1985
SIDNEY_LANIER,34.16,-84.073,USA,1972-1976,1956,18,150.00,15.1,2.27,0.89,2.542,pump,2.83,0.60,7.19E+06,1.53E+06,0.79,Metamorphic,Bottom,,,,,,,Hejzlar database,Walker 1985
Skipout,35.60,-99.9,USA,,,33,0.19,3.7,0.00,2.80,0.000,flow,7.23,0.52,1.81E+03,1.29E+02,0.93,Unconsol_seds,,,,,,,,Hard water - discussed in report,Wagner 1996
Slapy,49.80,14.7,Czech_Republic,2004,1954,50,11.86,20.3,0.24,0.10,2.400,flow,2.35,1.84,5.64E+06,4.42E+06,0.21,Acid_plutonic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished"
SOMERVILLE,30.32,-96.525,USA,1972-1976,1967,7,18.76,4.6,0.09,0.31,0.279,flow,4.05,2.13,1.13E+06,5.96E+05,0.47,Unconsol_seds or Siliclastic_sed,Bottom,,,,,,,Hejzlar database,Walker 1985
South_Holston,36.50,-82.08,USA,1974-1976,1950,25,26.00,23.4,0.61,0.55,1.107,flow,1.10,0.36,1.22E+06,3.93E+05,0.68,Siliclastic_sed,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
STILLHOUSE_HOLLOW_(LAPASAS),31.02,-97.532,USA,1972-1976,1968,6,10.50,12.0,0.29,0.46,0.636,flow,1.65,0.55,1.05E+06,3.49E+05,0.67,Mixed_seds or Carbonate,Bottom,,,,,,,Hejzlar database,Walker 1985
Sulejow,51.45,19.95,Poland,1985-88,1973,13.5,18.48,3.4,0.06,0.08,0.750,pump,12.25,8.10,9.19E+06,6.07E+06,0.34,Unconsol_seds,,,,,,,,Hejzlar database,Galicka 1992
SUMMERSVILLE,38.22,-80.891,USA,1972-1976,1966,8,10.93,20.0,0.22,0.06,3.643,flow,0.78,0.49,2.83E+06,1.78E+06,0.37,Siliclastic_sed,,,,,,,,Hejzlar database,Walker 1985
TABLE_ROCK,36.60,-93.311,USA,1972-1976,1958,16,174.00,19.5,4.27,0.59,7.250,flow,2.84,0.59,2.06E+07,4.26E+06,0.79,Carbonate,Mixed,,,,,,,Hejzlar database,Walker 1985
Taiquin,30.40,-84.63333333,USA,1972-74,1927,46,39.25,4.1,0.16,0.12,1.306,pump,6.26,3.11,8.18E+06,4.07E+06,0.45,Unconsol_seds,Bottom,,,,,,,Hejzlar database,Turner et al 1983
TENKILLER_FERRY,35.60,-95.049,USA,1972-1976,1952,22,52.20,15.8,0.84,0.34,2.463,pump,3.24,1.55,7.98E+06,3.81E+06,0.52,Carbonate or Unconsol_seds,Mixed,,,,,,,Hejzlar database,Walker 1985
TEXONA_(DENNISON),33.82,-96.572,USA,1972-1976,1944,30,360.20,9.8,3.12,0.41,7.666,flow,13.06,2.94,1.00E+08,2.26E+07,0.77,Siliclastic_sed or Unconsol_seds,,,,,,,,Hejzlar database,Walker 1985
ThacBa_reservoir,21.42,105.03,Vietnam,,,31,235.00,58,13.63,2.18,6.244,flow,59.98,55.32,3.75E+08,3.45E+08,0.08,,,,,,,,,,Le Thi Phuong et al 2010
Tims_Ford,35.18,-86.27,USA,1974-1976,1970,5,39.60,14.9,0.59,0.56,1.056,flow,0.77,0.71,8.19E+05,7.50E+05,0.03,Mixed_seds,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
Trnavka,49.53,15.21666667,Czech_Republic,1997-2000,1981,17,0.77,6.3,0.00,0.09,0.053,unknown,2.86,1.58,1.53E+05,8.41E+04,0.45,Metamorphic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished"
TUTTLE_CREEK_1,39.25,-96.602,Kansas (USA),1972-1976,1962,12,50.60,7.8,0.39,0.36,1.112,flow,34.02,4.36,3.78E+07,4.84E+06,0.87,"Unconsol_seds,Mixed_seds",Bottom,,,,,,,Hejzlar database,Walker 1985
Tuttle_Creek_2,39.33,-96.602,Kansas (USA),,,29,50.60,7.6,0.38,0.42,0.916,flow,26.04,6.91,2.38E+07,3.05E+06,0.74,"Unconsol_seds,Mixed_seds",,,,,,,,30% of Q accounted for,Cunha et al 2014
Valle_de_Bravo,19.36,-100.18,Mexico,2002-2005,1947,56.5,18.55,21.1,0.35,1.37,0.252,pump,15.44,3.35,3.90E+06,8.45E+05,0.78,"Unconsol_seds,Siliclastic_sed,Acid_volcanic",,,,,,,,"highly urbanized, weird downstream to upstream pumping","Ramirez-Zierold et al., 2010"
Valmayor,40.53,-4.05,Spain,1978-81,1975,4.5,5.33,10.7,0.06,6.45,0.009,pump,56.45,9.16,4.99E+05,8.09E+04,0.76,Unconsol_seds or Acid_plutonic,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
Waconda,39.50,-98.37,Kansas (USA),,,28,50.90,7.3,0.37,1.50,0.248,pump,10.89,6.06,2.70E+06,1.50E+06,0.42,Mixed_seds,,,,,,,,36% of Q accounted for,Cunha et al 2014
Wahnbach_Talsperre_1,51.00,9.0,Germany,1976-77,1958,18.5,1.30,16.0,0.02,1.02,0.020,pump,3.85,0.48,7.86E+04,9.79E+03,0.88,"Unconsol_seds,Siliclastic_sed,Mixed_seds",,,,,,,,Hejzlar database,Sas H.1989
Wahnbach_Talsperre_2,51.00,9.0,Germany,1978-85,1958,23.5,1.30,16.0,0.02,0.82,0.026,pump,0.92,0.36,2.36E+04,9.09E+03,0.61,"Unconsol_seds,Siliclastic_sed,Mixed_seds",,,,,,,,Hejzlar database,Sas H.1989
WALTER_F_GEORGE_(EUFAULA),31.60,-85.05,USA,1972-1976,1964,10,182.80,5.9,1.08,0.08,12.994,flow,3.12,2.94,4.05E+07,3.83E+07,0.05,Unconsol_seds,Bottom,,,,,,,Hejzlar database,Walker 1985
Watauga,36.32,-82,USA,1974-1976,1948,27,22.80,24.5,0.56,0.69,0.810,flow,1.65,0.39,1.33E+06,3.14E+05,0.75,Siliclastic_sed or Metamorphic,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
Watts_Bar,35.62,-84.77,Tennessee (USA),1974-1976,1942,33,148.00,7.3,1.08,0.04,30.748,flow,1.29,0.87,3.97E+07,2.68E+07,0.33,Siliclastic_sed,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
Wheeler,34.80,-87.37,Tennessee/Alabama (USA),1974-1976,1936,39,227.50,5.3,1.20,0.02,54.904,flow,1.13,1.81,6.20E+07,9.93E+07,-0.60,Water_body,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
Williams_Fork_1,40.00,-106.0,Colorado (USA),,,20,6.55,18.2,0.12,0.82,0.145,flow,0.94,0.84,1.37E+05,1.21E+05,0.11,Siliclastic_sed,,,,,,,,"back-calculated effluxes for each year, averaged them, then calculated average retentions from this",LaBaugh and Winter 1984
Williams_Fork_2,41.00,-106.0,Colorado (USA),1979-1982,1959,21.5,4.13,18.2,0.08,0.77,0.098,pump,0.89,0.74,8.76E+04,7.27E+04,0.17,Siliclastic_sed,,,,,,,,Hejzlar database,LaBaugh 1985
Wilson_Alabama,34.80,-87.62,Alabama (USA),1974-1976,1924,51,63.40,12.3,0.78,0.01,59.004,flow,1.81,1.68,1.07E+08,9.91E+07,0.07,Carbonate,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
Wilson_Kansas,38.93,-98.55,Kansas (USA),,,27,36.50,7.3,0.27,2.33,0.114,flow,4.00,2.01,4.58E+05,2.30E+05,0.50,"Unconsol_seds,Mixed_seds",,,,,,,,all Q accounted for,Cunha et al 2014
Wivenhoe,-27.40,152.6,Australia,,,21,109.00,10.8,1.18,20.00,0.059,pump,11.15,2.29,6.56E+05,1.35E+05,0.80,Metamorphic,,,,,,,,,Burford et al 2012
Zelivka_1,49.67,15.09166667,Czech_Republic,1994,1975,19,10.57,16.3,0.17,1.05,0.165,pump,2.80,0.59,4.62E+05,9.78E+04,0.80,Metamorphic,Bottom,,,,,,,Hejzlar database,"Hejzlar, unpublished"
Zelivka_2,49.67,15.09166667,Czech_Republic,1995-2000,1975,22,13.74,18.2,0.25,1.23,0.203,pump,2.80,0.49,5.68E+05,1.00E+05,0.86,Metamorphic,Mixed,,,,,,,Hejzlar database,"Hejzlar, unpublished"
DeGijster,51.72,4.8,Netherlands,1981,,,3.05,13.1,0.04,0.21,0.189,pump,10.65,7.75,2.02E+06,1.47E+06,0.27,Unconsol_seds,Bottom,,,,,,,Hejzlar database,Oskam 1995
Honderd_(Biesbosch),51.72,4.77,Netherlands,1981,1973,8,2.10,15.7,0.03,0.17,0.189,pump,7.75,7.75,1.47E+06,1.47E+06,0.00,,Bottom,,,,,,,Hejzlar database,Oskam 1995
Petrusplaat,51.75,4.76,Netherlands,1981,1973,8,1.00,13.0,0.01,0.07,0.189,pump,7.75,4.84,1.47E+06,9.16E+05,0.38,Unconsol_seds,Bottom,,,,,,,Hejzlar database,Oskam 1995
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
